id,title,genres,overview,release_date,vote_average,vote_count,title_normalized
715287,Stepmom's Desire,"['Drama', 'Romance']","Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",2020-05-29,7.2,30,stepmom's desire
994682,Sexy Oral: Uwakina Kuchibiru,['Drama'],A woman rejects her clingy female lover and pursues a female co-worker. The spurned lover plots revenge and the co-worker has a kinky secret.,1984-02-17,6.0,2,sexy oral: uwakina kuchibiru
1470086,Ligaw,"['Drama', 'Romance']","A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.",2025-05-09,7.2,4,ligaw
1083433,I Know What You Did Last Summer,"['Horror', 'Mystery', 'Thriller']","When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.",2025-07-16,5.953,369,i know what you did last summer
574475,Final Destination Bloodlines,"['Horror', 'Mystery']","Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",2025-05-14,7.125,2153,final destination bloodlines
1354441,The Hacienda: Return of the Damned,['Horror'],A group of friends return to their hometown after many years. The trip is an excuse to reminisce about old times but turns into a nightmare when they unearth their darkest memories.,2025-03-09,5.5,2,the hacienda: return of the damned
157336,Interstellar,"['Adventure', 'Drama', 'Science Fiction']",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,8.461,37857,interstellar
70196,The Veteran,"['Action', 'Crime', 'Thriller']","Soldier Robert Miller returns home from Afghanistan unable to fit back into society. Living on a violent council estate and finding work in undercover surveillance, he becomes obsessed with taking down a group of local gangsters who are intrinsically tied to a suspected terrorist cell. Taking the situation into his own hands, Robert embarks on a brutal quest for justice, with devastating consequences.",2011-04-29,5.8,128,the veteran
423108,The Conjuring: The Devil Made Me Do It,"['Horror', 'Mystery', 'Thriller']","Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,7.394,6221,the conjuring: the devil made me do it
1151031,Bring Her Back,['Horror'],"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",2025-05-28,7.421,889,bring her back
1071585,M3GAN 2.0,"['Action', 'Science Fiction', 'Thriller']","After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",2025-06-25,7.498,827,m3gan 2.0
1088166,Relay,"['Thriller', 'Drama']","Tom, a world class ""fixer"", specializes in brokering lucrative payoffs between corrupt corporations and the individuals who threaten their ruin. He keeps his identity a secret through meticulous planning and always follows an exacting set of rules. But when a message arrives one day from potential client Sarah, needing Tom's protection just to stay alive, the rules quickly start to change.",2025-08-21,7.158,38,relay
1403735,Laila,"['Comedy', 'Romance']","Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",2025-02-14,5.8,5,laila
974397,My Freaky Family,"['Animation', 'Family', 'Fantasy']","On the cusp of her 13th birthday, Betty Flood – budding musician and magical being – just wants to be like the rest of her fabulous, but very different family, so why is her magical Mum so against it? As Betty wrestles with this, she also learns the amazing truth about her family and discovers that the not so normal, the magical and the musical are all a part of her fabulously freaky family. It's very freaky, so be freaked freaky ahh deaky peaky neaky seaky peaky poo.",2024-04-25,7.0,6,my freaky family
986056,Thunderbolts*,"['Action', 'Science Fiction', 'Adventure']","After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",2025-04-30,7.365,2599,thunderbolts*
1163545,Lubuk,['Thriller'],"30 years ago, Titi and Dirwan appeared at a small town and took over a rundown mansion where they turned it into a quaint and idyllic home for the homeless and those who have nowhere to go. It has created a buzz among the small community and nearby towns especially when Dirwan has never demanded for any payments and he has taken great efforts and measures to provide the best care and facilities for the residents. Unknown to everyone, the shelter home is only the front for another ludicrous but dark and sinister business. Business that Titi and Dirwan have been profiting for close to 2 decades. Its charming facade and warm hospitality lure unsuspecting victims. This place is perfect as it is located at the edge of the town, far away from anyone and coupled with unreliable internet and mobile phone services.",2024-07-18,0.0,0,lubuk
1185528,Legends of the Condor Heroes: The Gallants,"['Action', 'Drama', 'History']","Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",2025-01-29,6.8,63,legends of the condor heroes: the gallants
